Protect,Aar
Warn,Aartu
Borrow,Abb
Adapter,Adaptater
Arrive,Agg
Arrivals,Agg yi
And,Ak
With,Ak
Also,Akit
Accident,Aksidan
Fine,Alamaan
Allergy,Alersi
Police officer,Alkaati
Alcohol,Alkol
Forest,All
Matches,Almet
Have,Am
Rich,Am alal
Wealthy,Am alal
Strong,Am doole
Grateful,Am ite
Interesting,Am maana
Valuable,Am njarin
Poisonous,Am poson
Important,Am solo
Lucky,Am werseg
Useful,Am-njarin
Wardrobe,Amoor
Light bulb,Ampul
Free,Amul fay
Nonsmoking,Amul tox
Lunch,An
Way,Anam
English,Angale
Phone book,Aniyeer
Apartment,Apartamaa
Right,Aq
Keyboard,arafukaay
Stop,Are
Bus stop,Are kaar
Sky,Asamaan
Diary,Asandaa
Escalator,Asanser
Aspirin,Aspiriin
Elevator,Asãnser
Age,At
Year,At
Years,At yi
Tea,Ataaya
Lawyer,Awoka
Sex,Awra
Cotton balls,Ay dambi koton
Shorts,Ay kilot
Contact lenses,Ay lineti kontakt
Airport,Aydapoor
Week,Ayu-bis
Until,Ba ci
Forever,Ba faww
Already,Ba noppi
Party,Baal
Finger,Baaraam
Neck,Baat
Voice,Baat
Word,Baat
World,Baat
Good,Baax
Kind,Baax
Positive,Baax
Right,Baax
Well,Baax
Great,Baax lool
Quality,Baaxaay
Dad,Baay
Baggage,Bagaas
Luggage,Bagaas
Nose,Bakkan
Ball,Bal
Mud,Ban
Refuse,Ban
Which,Ban
Banana,Banana
Band,Band
Bandage,Bandaas
Bank,Bank
Suburb,Banlie
Wood,bant
Local,Barab
Place,Barab
Square,Barab
Campsite,Barabu kan
Lot,Bari
Too,Bari
Noisy,Bari biriwi
Day before yesterday,Barki demb
Not Yet,Bat tay
Letter,Bataaxal
Mail,Bataaxal
Message,Bataaxal
Battery,Batiri
Boat,Bato
Ship,Bato bu mag
From,Bawoo
Stranger,Bawoo bitim-reew
Since,Bawoo ci
Blue,Baxa
Blue,Baxa
Noon,Becek
Butter,Beer
Fresh,Bees
New,Bees
Like,Begg
Want,Begg
Have fun,Begge
Enjoy,Beggee
Corn,Bejen
North,Bej-saalum
South,Bej-saalum
Desert,Bekkoor
Teeth,Ben
Tooth,Ben
Another,Beneen
Other,Beneen
One,Benn
Same,Benn
On time,Benn waxtu
Once,Benn yoon
One-way,Benn-yoon
Star,Biddiw
This,Bii
Stomach,Biir
Diarrhea,Biir bu daw
City center,Biir gox
Indoor,Biir neeg
Write,Bind
Writer,Bindkat
Pen,Bindukaay
Vinegar,Binegar
Lighter,Birike
Office,Biro
Date,Bis
Date,Bis
Day,Bis
Daily,Bis bu nekk
Holiday,Bisu ber
Holidays,Bisu ber yi
Vacation,Bisu-ber
Birthday,Bisu-judd
Bottle,Biteel
Water bottle,Biteelu ndox
Shop,Bitik
Shop,Bitik
Bookshop,Bitiku teere
Library,Bitiku teere
Aboard,Bitim-reew
Overseas,Bitim-reew
Bottom,Biton
Ticket,Biye
Box,Bksi
Bowl,Bol
Sun block,Boloku naaj
Bad,Bon
Wrong,Bon
Candy,bonbon
Together,Booloo
Saucepan,Boolu soos
Head,Bopp
Selfish,Boppam
Headlights,Boppi-xibaar
Credit,Bor
Owner,Borom
Romantic,Borom feem
Brush,Boroos
Hairbrush,Borosu kawae
Toothbrush,Borosu-ben
His,Bosam
Boots,Bot
Can,Boyet
Tin,Boyet
Mailbox,Boyetu bataaxal
Religious,Bu aju ci diine
Legal,Bu aju ciyoon
Without,Bu amul
Sensual,Bu andak yeg-yeg
Herbal,Bu bawoo ci ňax
Each,Bu ci nekk
Every,Bu nekk
Included,Bun ci boole
Door,Bunt
Entry,Bunt
Gate,Bunt
Departure gate,Buntu dem
Stolen,Bunu sacc
Heated,Bunu tangal
Typical,Bunu xam
Compass,Busol
Rope,Buum
King,Buur
Queen,Buur bu jigeen
Soda,Buwasoo
Soft-drink,Buwasoo bu am suker
Waterproof,Buy tere ndox mi jall
Handmade,Buň defare loxo
Key,Caabi
Lock,Caabi
Locked,Caabi nan ko
String,Caas
Robbery,Cacc
Left,Cammon
Necklace,Caq
Sandal,Carax
Tip,Cat
Rice,Ceeb
At,Ci
In,Ci
To,Ci
Inside,Ci biir
Within,Ci biir
Outside,Ci biti
Recently,Ci jamono yii
Ahead,Ci kanam
In front of,Ci kanamu
Above,Ci kaw
Board,Ci kaw
Loud,Ci kaw
Up,Ci kaw
Low,Ci suuf
Towards,Ci wetu
Per,Cig
Per cent,Cig termeer
Girlfriend,Coro
Fall,Daanu
School,Daara
College,Daara ju kawe
High school,Daara ju kawe
Cut,Dagg
Shaving cream,Dagg Radi
Nail clippers,Daggukaayu we
Meet,Daje
Disabled,Dakkal
Name,Dakkantal
Nickname,Dakkantal
Home,Dal
Venue,Dalal
Welcome,Dalal
Shoes,Dall
Sprain,Dam-dam
None,Dara
Nothing,Dara
Blanket,Daraa
Sheet,Darap
Rash,Daw
Run,Daw
Drive,Dawal
Go,Dawal
Hiking,Dawal
Ride,Dawal
Ride,Dawal
Hike,Dawal fas welo
Cruise,Dawal gaal
Cycling,Dawal welo
Cyclist,Dawalkatu welo
Size,Dayo
No,Deet
Not,Deet
Neither nor,Deet Deet
Do,Def
Make,Defar
Repair,Defar
Hard,Deger
Stubborn,Deger bopp
Hard-boiled,Deger kecc
Degrees,Degere
Hear,Degg
Rhythm,Degg-degg
Contract,Deggoo
Listen,Deglu
Live,Dekk
Address,Dekkuwaay
Refund,Delloo xaalis
Return,Dellu
Depart,Dem
Departure,Dem
Go,Dem
Quit,Dem
Yesterday,Demb
Transport,Dem-dikk
Record,Denc
Video recorder,Dencukatu wideo
Turkey,Dend
Chest,Denn
Storm,Denu
Floor,Der
Leather,Der
Skin,Der
Blood,Dereet
Rest,Des
Dessert,Deseer
Relic,Desit
Lake,Dex
Promise,Dig
Relationship,Digante
Time difference,Digante waxtu
Center,Digg
Half,Digg
Across,Diggante
Between,Diggante
Advice,Digle
Religion,Diine
Ago,Diir
Heavy,Diis
Cream,Diw
Oil,Diw
Relax,DNopalu
Crazy,Dof
Idiot,Dof
Decide,Dogal
Lump,Doggit
Piece,Doggit
Slice,Doggit
Doctor,Doktor
Power,Doole
Weight,Doole
Weights,Doole yi
